Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Pomegranates, raw",A,100g,83,1.67,18.7,1.17,4,13.67,0.12,0.009,0,3
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",A,100g,73,0.39,18.91,0.07,1,17.91,0.01,,0,6
Pineapple,B,100g,44,0.5,10.8,0.1,1.3,,,,,0.8
False sour cherry,B,100g,46,1.1,10.2,0.2,0.3,,,,,8
“Crisp” pear,B,100g,45,0.3,11.4,0.1,1.2,,,,,2.3
"Crabapple, canned",B,100g,56,0.5,13.6,0.2,1.3,,,,,8.8
"Conomon, white-skinned",B,100g,25,0.4,6.2,ND,0.5,,,,,1.6
“Apricot” plum,B,100g,38,0.7,8.7,0.2,0.9,,,,,3.8
"“Fragrant Jade” apple, red",B,100g,62,0.5,15.7,0.1,1.7,,,,,2.6
Gooseberry,B,100g,46,0.9,10.2,0.6,1.9,,,,,1
Plantain,B,100g,115,1.2,28.9,0.1,3.1,,,,,1.3
Spine date,B,100g,300,3.5,73.3,1.5,10.6,,,,,3.8
“Sumu” pear,B,100g,53,0.6,13.1,0.3,2.5,,,,,
Crabapple,B,100g,76,0.3,19.2,0.2,1.8,,,,,0.6
Emblic leaf flower,B,100g,45,0.3,12.4,0.1,3.4,,,,,ND
"Peach, in sugar syrup, canned",B,100g,59,0.3,14.7,ND,0.4,,,,,28
"“Banana” apple, banana flavored, green",B,100g,52,0.3,13.1,0.1,1.3,,,,,1.3
"Mulberry, dried",B,100g,298,21.1,54.2,6.1,29.3,,,,,28.1
"“Honey”, date, preserved with sugar, seeds removed",B,100g,327,1,81.9,0.1,3,,,,,15.8
“Sumei” pear,B,100g,77,1.2,20.5,0.2,5.7,,,,,0.9
"Hawthorn, large, dried",B,100g,251,4.3,78.4,2.2,49.7,,,,,9.9
Common averrhoa,B,100g,31,0.6,7.4,0.2,1.2,,,,,1.4
"Chinese olive, white",B,100g,57,0.8,15.1,0.2,4,,,,,ND
"Peach, yellow, early maturing",B,100g,41,0.4,10.1,0.1,1.1,,,,,1.3
"“Gold Marshal” apple, yellow",B,100g,53,0.2,13.3,0.1,1.1,,,,,1.7
"Mulberry, purple",B,100g,55,1.6,12.9,0.4,3.3,,,,,1.9
"Apricot, dried, preserved with sugar",B,100g,333,0.8,82,0.6,1.8,,,,,213.3
Lemon,B,100g,37,1.1,6.2,1.2,1.3,,,,,1.1
"Hawthorn, large",B,100g,102,0.5,25.1,0.6,3.1,,,,,5.4
Bayberry,B,100g,30,0.8,6.7,0.2,1,,,,,0.7
Loquat,B,100g,41,0.8,9.3,0.2,0.8,,,,,4
“May fresh” peach,B,100g,41,0.4,10,0.1,0.9,,,,,
"“Yellow Marshal” apple, yellow",B,100g,59,0.2,14.7,0.3,1.8,,,,,0.6
"Mulberry, white",B,100g,60,1.8,14.9,0.3,4.9,,,,,2
"Watermelon inner skin, preserved with sugar",B,100g,311,0.7,77.5,0.2,2,,,,,529.3
Pomelo,B,100g,42,0.8,9.5,0.2,0.4,,,,,3
"“Honey”, date, preserved with sugar",B,100g,333,1.3,84.4,0.2,5.8,,,,,25.1
“Soft” pear,B,100g,32,0.4,11.7,0.2,9.1,,,,,1
Banana,B,100g,93,1.4,22,0.2,1.2,,,,,0.8
"Peach, yellow, late maturing",B,100g,41,0.7,9.6,0.2,1,,,,,0.5
"“Banana” apple, banana flavored, yellow",B,100g,53,0.3,13.7,0.2,2.2,,,,,0.8
Mulberry (Mean),B,100g,57,1.7,13.8,0.4,4.1,,,,,2
"Peach, preserved with sugar, dried",B,100g,315,1.4,77.6,0.4,2.4,,,,,243
"Tangerine, preserved in sugar",B,100g,371,0.6,92.9,0.4,3.5,,,,,485.9
“Honey” tangerine,B,100g,45,0.8,10.3,0.4,1.4,,,,,1.3
"Date, preserved in liquor",B,100g,148,1.6,35.7,0.2,1.4,,,,,0.8
“Apple” pear,B,100g,53,0.2,13.9,0.1,2.3,,,,,2.4
"Pear, canned in sugar",B,100g,36,0.5,8.8,0.2,1.4,,,,,2.1
Silverweed cinquefoil,B,100g,87,0.6,21.2,0.7,3.5,,,,,7.1
“Celebrate Harvest” peach,B,100g,42,0.6,10.1,0.1,0.9,,,,,2.1
"“Red Marshal” apple, red",B,100g,60,0.2,14.3,0.4,0.6,,,,,0.7
"Persimmon, dried",B,100g,255,1.8,62.8,0.2,2.6,,,,,6.4
"Plum, preserved with sugar, green",B,100g,314,1.2,77.4,0.6,2.9,,,,,222.8
"“Early” tangerine, early maturing",B,100g,57,1.2,12.6,0.2,0.1,,,,,0.9
“Lugan” tangerine,B,100g,44,0.6,10.3,0.2,0.6,,,,,
"Date, black, smoked",B,100g,247,3.7,61.4,0.5,9.2,,,,,1.2
“Wood” pear,B,100g,32,0.4,8.2,0.1,1.9,,,,,3
"“Winter fruit” pear, canned",B,100g,56,0.3,15.9,ND,4.5,,,,,2
“Pu” peach,B,100g,39,0.5,10.2,0.2,2.8,,,,,1
“Red Jade” apple,B,100g,52,0.2,14.7,0.2,4.7,,,,,
“Millstone”persimmon,B,100g,79,0.7,19.6,0.1,1.5,,,,,4.7
"Apple, preserved in sugar",B,100g,340,0.6,84.9,0.1,1.6,,,,,12.8
“Small leaf” tangerine,B,100g,40,1.1,8.8,0.2,0.9,,,,,2.1
"Kumquat, oval",B,100g,58,1,13.7,0.2,1.4,,,,,3
"Dateplum persimmon, seeds removed, dried",B,100g,234,1.7,57.3,0.3,2.6,,,,,6.3
“Moon” pear,B,100g,54,0.3,13.3,0.2,0.9,,,,,1.4
Papaya,B,100g,29,0.4,7,0.1,0.8,,,,,28
“Honey” peach,B,100g,43,0.9,9.8,0.2,0.8,,,,,2.9
“Red star” apple,B,100g,58,0.4,14.3,0.1,0.8,,,,,2.3
“Lotus”persimmon,B,100g,65,0.6,17.1,0.2,3.8,,,,,1.1
"Crabapple, preserved with sugar",B,100g,290,0.6,72.6,0.2,2.2,,,,,200.5
“Light yellow” pear,B,100g,41,0.3,10.7,0.1,1.9,,,,,1.7
"“Sichuan” tangerine, red-skinned",B,100g,42,0.7,9.8,0.1,0.7,,,,,1.7
Satsuma orange,B,100g,44,0.8,10.2,0.1,0.5,,,,,0.8
"“Miyun”, date, small",B,100g,229,3.9,55.2,0.8,7.3,,,,,9.3
"“Horse's hoof” pear, yellow",B,100g,50,0.3,12.5,0.1,1.3,,,,,3.3
Mango,B,100g,35,0.6,8.3,0.2,1.3,,,,,2.8
Avocado,B,100g,171,2,7.4,15.3,2.1,,,,,10
Persimmon,B,100g,74,0.4,18.5,0.1,1.4,,,,,0.8
Watermelon (Mean),B,100g,26,0.6,5.8,0.1,0.3,,,,,3.2
“Winter fruit” pear,B,100g,46,0.4,12.8,0.2,4.3,,,,,
"“Three lakes” tangerine, red-skinned",B,100g,43,0.8,10,0.3,1.3,,,,,1.4
“Fu” tangerine,B,100g,46,1,10.3,0.2,0.4,,,,,0.5
"Date, “Leling”, small",B,100g,233,3.3,57.9,0.6,8.8,,,,,
“Laiyang” pear,B,100g,54,0.3,14.1,0.2,2.6,,,,,1.8
Lychee,B,100g,71,0.9,16.6,0.2,0.5,,,,,1.7
“Zisu” pear,B,100g,51,0.3,13.3,0.1,2,,,,,1.7
“Jiubao” peach,B,100g,42,0.6,10,0.1,0.6,,,,,2
"“Banana” apple, banana flavored, red",B,100g,51,0.4,12.3,0.2,0.9,,,,,2
Casaba,B,100g,27,0.4,6.2,0.1,0.4,,,,,8.8
"Pear, long stem",B,100g,62,0.8,14.9,0.8,4,,,,,3.2
Orange (Mean),B,100g,51,0.7,11.9,0.2,0.4,,,,,1.4
"Date, “Jinsi”, small",B,100g,308,1.2,76.7,1.1,7,,,,,7.4
“Kuerle” pear,B,100g,42,0.1,13.4,0.1,6.7,,,,,3.7
Wampee,B,100g,39,1.6,9.9,0.2,4.3,,,,,6.5
"Pomegranate, pink-skinned",B,100g,74,1.3,19.4,0.1,4.9,,,,,0.8
"“Crisp” pear, early crop",B,100g,50,0.2,13.6,0.2,3.6,,,,,0.2
“Golden red” peach,B,100g,28,0.7,6.6,0.1,1,,,,,
“Red Fuji” apple,B,100g,49,0.7,11.7,0.4,2.1,,,,,0.7
"Pomegranate, pale green-skinned",B,100g,71,1.2,18.5,0.2,4.9,,,,,1.3
“Charming” melon,B,100g,17,0.7,3.6,0.1,0.4,,,,,
“Ba” pear,B,100g,51,0.4,12.9,0.2,2.2,,,,,1
Orange,B,100g,48,0.8,11.1,0.2,0.6,,,,,1.2
"Date, large, dried",B,100g,317,2.1,81.1,0.4,9.5,,,,,8.3
Bretschneider pear,B,100g,57,0.2,13.7,0.5,1.4,,,,,0.7
Longan flesh,B,100g,317,4.6,73.5,1,2,,,,,7.3
"Pomegranate, pale green-skinned (Mean)",B,100g,73,1.4,18.7,0.2,4.8,,,,,0.9
“Duck” pear,B,100g,45,0.2,11.1,0.2,1.1,,,,,1.5
Yellow peach,B,100g,57,0.5,14,0.1,1.2,,,,,
“Drought” apple,B,100g,34,0.4,8.4,0.2,1.7,,,,,
“Agate”pomegranate,B,100g,72,1.6,18.4,0.2,4.7,,,,,0.7
“Lingmi” melon,B,100g,4,0.5,0.4,0.1,0.4,,,,,5.2
Pear (Mean),B,100g,50,0.4,13.3,0.2,3.1,,,,,2.1
Strawberry,B,100g,32,1,7.1,0.2,1.1,,,,,4.2
"Date, dried",B,100g,276,3.2,67.8,0.5,6.2,,,,,6.2
“Jinfeng” pear,B,100g,51,0.2,13.9,0.1,3.2,,,,,
"Longan, dried",B,100g,277,5,64.8,0.2,2,,,,,3.3
Raisin,B,100g,344,2.5,83.4,0.4,1.6,,,,,19.1
“Yaguang” pear,B,100g,60,0.6,16.5,0.2,5.1,,,,,1
"“Jiubao” peach, early maturing",B,100g,48,0.9,11.3,0.1,0.8,,,,,1.8
“Bright China” apple,B,100g,56,0.3,13.3,0.3,0.8,,,,,1.3
"Apple, canned",B,100g,41,0.2,10.3,0.2,1.3,,,,,6.2
Chinese kiwi fruit,B,100g,61,0.8,14.5,0.6,2.6,,,,,10
Date,B,100g,125,1.1,30.5,0.3,1.9,,,,,1.2
“Red skin” pear,B,100g,36,0.2,10.5,ND,3.2,,,,,3.4
Longan,B,100g,71,1.2,16.6,0.1,0.4,,,,,3.9
"Grape, purple",B,100g,45,0.7,10.3,0.3,1,,,,,1.8
“Snow” pear,B,100g,79,0.9,20.2,0.1,3,,,,,1.4
"“Mountain” peach, white",B,100g,42,0.7,10.1,0.2,1.3,,,,,0.7
Summer apple,B,100g,48,0.5,11.8,0.1,1.2,,,,,1.3
“Jintasi” melon,B,100g,10,0.6,2,0.1,0.7,,,,,
"Apricot, dried",B,100g,338,2.7,83.2,0.4,4.4,,,,,40.4
Guava,B,100g,53,1.1,14.2,0.4,5.9,,,,,3.3
"“Giant”grape, large",B,100g,51,0.4,12,0.2,0.4,,,,,2
“Snowflower” pear,B,100g,43,0.2,10.6,0.1,0.8,,,,,0.6
White peach,B,100g,26,1.3,5.5,0.1,0.9,,,,,
Apple (Mean),B,100g,54,0.2,13.5,0.2,1.2,,,,,1.6
“Yellow River” honey melon,B,100g,11,0.4,4,ND,3.2,,,,,
"“Wojin”, apple",B,100g,54,0.2,13.6,0.2,1.7,,,,,0.6
Fig,B,100g,65,1.5,16,0.1,3,,,,,5.5
Bureja gooseberry,B,100g,63,0.7,16.9,0.1,4.1,,,,,
“Red rose”grape,B,100g,42,0.4,10.7,0.2,2.2,,,,,1.5
“Fragrant” pear,B,100g,51,0.3,13.6,0.1,2.7,,,,,0.8
Peach (Mean),B,100g,51,0.9,12.2,0.1,1.3,,,,,5.7
“Hami” cantaloupe,B,100g,34,0.5,7.9,0.1,0.2,,,,,26.7
Stellatehair vatica,B,100g,35,0.9,6.2,0.9,1,,,,,
“Blessing” apple,B,100g,50,0.4,12.5,0.1,1.5,,,,,1.7
Sea buckthorn,B,100g,120,0.9,25.5,1.8,0.8,,,,,28
"Apricot, canned",B,100g,40,0.6,9.7,0.2,1.4,,,,,22.3
Jackfruit flesh,B,100g,105,0.2,25.7,0.3,0.8,,,,,11.4
Grape (Mean),B,100g,44,0.5,10.3,0.2,0.4,,,,,1.3
Sour pear,B,100g,33,0.1,9.8,0.1,3.7,,,,,8.5
"Spinyleaf crazyweed, spine, a kind of wild fruit",B,100g,112,2.8,25.5,0.3,2.2,,,,,8.3
"Honeydew, white-skinned, light green pulp",B,100g,23,0.6,5.3,0.1,0.8,,,,,
“Plum” apricot,B,100g,37,1,8.6,0.1,1.1,,,,,1.5
Indian apple,B,100g,54,0.6,14.8,0.2,4.9,,,,,
Currant,B,100g,66,1.4,15.4,0.4,2.4,,,,,2
Apricot,B,100g,38,0.9,9.1,0.1,1.3,,,,,2.3
Grape (without skin),C,100g,68,0.6,16,0.4,Trace,14,0.019,,0,0
Dragon fruit,C,100g,56,1.1,9.6,1.4,1.7,7.6,0.13,,0,0
Grape (with skin),C,100g,69,0.6,15,0.6,Trace,14,0.013,,0,0
Wax jumbo,C,100g,35,0.6,7.6,Trace,1,6.7,0.046,,0,Trace
Honey pear (without skin),C,100g,40,0.3,9.4,Trace,1.5,5.5,0.009,,0,0
Red delicious apple (with skin),C,100g,54,Trace,12,0.4,2.4,12,0.014,,0,0
Honey pear (with skin),C,100g,40,0.4,9.3,Trace,2.5,5.8,0.006,,0,0
Fuji apple (without skin),C,100g,50,Trace,12,0.3,1.3,9.2,0.06,,0,0
Red delicious apple (without skin),C,100g,53,Trace,12,0.3,1.7,12,0.007,,0,0
Fuji apple (with skin),C,100g,51,Trace,12,0.4,1.7,11,0.062,,0,0
Green apple (without skin),C,100g,46,0.3,11,0.3,2,9.9,0.043,,0,0
Green apple (with skin),C,100g,46,0.3,11,0.3,2.8,9.9,0.048,,0,0
Frangrant pear (without skin),C,100g,49,Trace,12,Trace,1.4,6.7,0.007,,0,0
Frangrant pear (with skin),C,100g,50,0.3,11,0.3,2.6,7.1,0.013,,0,0
Western pear (without skin),C,100g,50,Trace,12,Trace,2,7.3,0.013,,0,0
Western pear (with skin),C,100g,51,Trace,12,Trace,3,7.4,0.016,,0,0
Pomelo,C,100g,40,0.7,8.5,0.4,1.3,7.2,0.019,,0,0
"Grape, black sultana, raw",D,100g,60,1.2,14,0.1,3.3,14,0,0,0,3
"Plum, unpeeled, raw",D,100g,35,0.6,7.1,0.1,2,6.5,0,0,0,2
"Apricot, canned in pear juice",D,100g,42,0.8,9.6,0,1.8,8.2,0,0,0,4
"Wax jambu, raw",D,100g,22,0.7,4.5,0.2,1.9,4.5,0,0,0,1
"Mulberry, raw",D,100g,29,2.2,4.3,0.2,2.2,4.3,0,0,0,6
"Apricot, dried",D,100g,195,4.3,44.4,0.2,8.4,40.5,0,0,0,37
"Plum, dark, canned in syrup, drained",D,100g,88,0.5,21.8,0.1,2,21,0,0,0,4
"Apple, red skin, unpeeled, raw",D,100g,52,0.2,12.7,0,2.7,12,0,0,0,1
"Tamarillo, peeled, raw",D,100g,27,2,3.4,0.1,4.7,3.4,0,0,0,1
"Melon, watermelon, peeled, raw",D,100g,31,0.6,7.3,0,0.4,7,0,0,0,3
"Fruit salad, canned in fruit juice, drained",D,100g,45,0.8,10.1,0.2,2.3,9.5,0,0,0,4
"Apple, red delicious, unpeeled, raw",D,100g,55,0.3,13.8,0,2.3,13,0,0,0,1
Sultana,D,100g,302,2.6,75,0.3,3.3,73.2,0,0,0,7
"Melon, rockmelon, peeled, raw",D,100g,22,0.5,4.7,0.1,1,4.7,0,0,0,14
"Fruit salad, canned in fruit juice",D,100g,45,0.7,10.4,0.1,1.4,9.8,0,0,0,4
"Plum, dark, canned in syrup",D,100g,86,0.4,21.6,0,1,21.1,0,0,0,3
"Apple, green skin, unpeeled, raw",D,100g,44,0.3,10.8,0,2.4,10.4,0,0,0,2
"Strawberry, raw",D,100g,21,0.7,3.9,0.2,2.5,3.8,0,0,0,0
"Melon, honey dew, yellow skin, peeled, raw",D,100g,24,0.8,4.4,0.3,0.9,4.4,0,0,0,40
"Fig, dried",D,100g,230,3.6,54.5,0.7,14.3,52.6,0.19,0,0,39
"Pineapple, canned in juice, drained",D,100g,43,0,10.9,0,1.1,10.9,0,0,0,1
"Apple, granny-smith, unpeeled, raw",D,100g,44,0.3,10.8,0,2.3,10.3,0,0,0,1
"Strawberry, purchased frozen",D,100g,21,0.7,3.9,0.2,2.5,3.8,0,0,0,0
"Melon, honey dew, white skin, peeled, raw",D,100g,34,0.7,7.1,0.3,1,7.1,0,0,0,44
"Date, dried",D,100g,270,2,67.2,0.2,9.7,65.9,0,0,0,14
"Pineapple, canned in pineapple juice",D,100g,55,0.5,12,0.6,0.8,12,0.16,0,0,5
"Apple, golden delicious, unpeeled, raw",D,100g,43,0.3,10.8,0,2.5,10.5,0,0,0,2
"Strawberry, canned in syrup, drained",D,100g,77,0.9,18.7,0.1,3.5,18.5,0,0,0,10
"Mango, peeled, raw",D,100g,54,0.4,13.4,0,1.3,12.9,0,0,0,0
"Pear, Packham's triumph, unpeeled, raw",D,100g,49,0.4,12.5,0,3,12.4,0,0,0,0
"Custard apple, African pride, peeled, raw",D,100g,73,1.4,15.8,0.6,2.5,14.7,0.16,0,0,4
"Pineapple, peeled, raw",D,100g,35,0.5,7.9,0,0.9,7.9,0,0,0,0
"Mandarin, canned in syrup, drained",D,100g,58,0.5,13.8,0.2,1.1,13.6,0,0,0,6
"Pear, canned in pear juice, drained",D,100g,42,0.6,10.3,0,2.8,8.6,0,0,0,6
"Currant, dried",D,100g,266,2.8,65.1,0.5,6,63.2,0,0,0,46
"Persimmon, peeled, raw",D,100g,66,0.6,16.1,0.2,2.6,16.1,0,0,0,6
"Apple, fuji, unpeeled, raw",D,100g,54,0.3,12.5,0.3,2.4,12.1,0,0,0,2
"Strawberry, canned in syrup",D,100g,77,0.4,18.9,0.2,1.5,18.7,0,0,0,8
"Pear, canned in pear juice",D,100g,43,0.5,10.6,0,1.7,8.7,0,0,0,6
"Cherry, raw",D,100g,57,0.8,12.9,0.2,1.5,10.9,0,0,0,0
"Apple, dried",D,100g,240,1.2,60.4,0,8.5,59.4,0,0,0,260
"Raspberry, raw",D,100g,38,1.1,6.8,0.2,5.6,6.5,0,0,0,1
"Mandarin, canned in syrup",D,100g,56,0.4,13.5,0.1,0.6,13.4,0,0,0,5
"Pear, brown skin, unpeeled, raw",D,100g,56,0.3,14.3,0,3.4,10.4,0,0,0,2
"Cherry, black, canned in syrup, drained",D,100g,70,0.9,17,0.1,1.7,15.7,0,0,0,5
"Raspberry, purchased frozen",D,100g,38,1.1,6.8,0.2,5.6,6.5,0,0,0,1
"Lychee, peeled, raw",D,100g,68,1.1,16.2,0.1,1.3,16.2,0,0,0,1
"Peach, canned in pear juice, drained",D,100g,42,0.8,9.4,0.1,2,8.2,0,0,0,7
"Cherry, black, canned in syrup",D,100g,70,0.7,17,0,0.9,15.8,0,0,0,4
"Raspberry, canned in syrup, drained",D,100g,70,1,16.2,0.2,6,15.9,0,0,0,6
"Loquat, peeled, raw",D,100g,26,1,4.9,0.2,1.7,4.9,0,0,0,2
"Peach, canned in pear juice",D,100g,41,0.6,9.5,0,1.3,8.3,0,0,0,8
"Blueberry, raw",D,100g,40,0.5,9.6,0,3.5,9.2,0,0,0,2
"Kiwifruit, green (hayward), peeled, raw",D,100g,49,1.2,9.1,0.7,3,8.8,0.17,0,0,2
"Raspberry, canned in syrup",D,100g,70,0.6,17,0.1,2.5,16.8,0,0,0,5
"Lime, peeled, raw",D,100g,21,0.8,1.2,0.2,4.1,1.2,0,0,0,3
"Pawpaw (papaya), peeled, raw",D,100g,29,0.4,6.9,0.1,2.3,6.9,0,0,0,7
"Blueberry, purchased frozen",D,100g,40,0.5,9.9,0,3.6,9.4,0,0,0,2
"Jackfruit, peeled, raw",D,100g,77,2.2,16.7,0.3,3,16.3,0.1,0,0,3
"Rambutan, raw",D,100g,69,1,15.7,0.4,2.8,15.7,0,0,0,2
"Lemon, peeled, raw",D,100g,23,0.6,1.8,0.2,2.5,1.8,0,0,0,2
"Blackberry, raw",D,100g,39,1.4,7.5,0.3,6.1,7.5,0,0,0,0
"Guava, Hawaiian, raw",D,100g,24,0.7,3.5,0.5,5.4,3.4,0,0,0,4
"Quince, peeled, raw",D,100g,48,0.5,11,0.2,5.2,11,0,0,0,16
"Passionfruit, raw",D,100g,46,3,5.7,0.3,13.9,5.7,0,0,0,19
"Grapefruit, peeled, raw",D,100g,26,0.9,4.8,0.2,1.7,4.8,0,0,0,4
Prune (dried plum),D,100g,185,2.3,43.9,0.4,7.8,31,0,0,0,7
"Passionfruit, pulp, canned",D,100g,88,1.5,19.8,0.2,7,19.8,0,0,0,10
"Banana, cavendish, peeled, raw",D,100g,87,1.4,19.6,0.2,2.2,12.8,0,0,0,0
"Grape, green, raw",D,100g,64,0.8,15.6,0,0.8,15.2,0,0,0,0
"Prickly pear, peeled, raw",D,100g,40,0.4,8.8,0.3,4.6,8.8,0,0,0,1
"Orange, valencia, peeled, raw",D,100g,37,1,8.2,0,2.4,8.2,0,0,0,0
"Avocado, raw",D,100g,124,1.6,0.2,13.2,7.5,0,1.93,0,0,7
"Grape, red globe, raw",D,100g,70,0.9,16.3,0.2,3.5,16.3,0,0,0,5
"Pomegranate, peeled, raw",D,100g,66,1.9,13.5,0.2,6.4,13.5,0,0,0,4
"Apricot, canned in pear juice, drained",D,100g,41,1,8.9,0,3.1,7.8,0,0,0,3
"Orange, navel, peeled, raw",D,100g,37,1,8.2,0,2.4,8.2,0,0,0,0
"Apricot, raw",D,100g,37,0.2,7.7,0.4,1.5,7.6,0,0,0,0
Pineapple,E,100g,61,0.4,14.7,0.1,1.2,,,,0,5
Banana (Horn),E,100g,113,1.3,26.7,0.1,1.9,,,,0,21
"Banana (Nam wa), ripe",E,100g,122,0.8,29,0.2,2.4,,,,0,5
Litchi,E,100g,65,1,14.9,0.2,1.2,,,,0,1
Longan,E,100g,76,1.2,17.5,0.1,0.9,,,,0,7
Star friut/carambola,E,100g,37,0.4,8.7,0.1,2.7,,,,0,2
Dragon fruit,E,100g,66,1.4,12.4,1.2,2.6,,,,0,
"Papaya, ripe",E,100g,41,0.5,9.5,0.1,1.3,,,,0,24
"Litchi / Ly-chee, Hong-houy variety",E,100g,68,1.1,15.6,0.2,1.5,,,,0,4
"Mango, Kaew variety, ripe",E,100g,93,0.6,22.4,0.1,1.6,,,,0,
"Longan, dried",E,100g,319,4.6,74.3,0.4,,,,,0,5
"Mango, Okrong variety, ripe",E,100g,82,0.8,19.2,0.2,1.3,,,,0,44
"Mango, Nung-klangwan variety, ripe",E,100g,85,0.5,20.3,0.2,,,,,0,
"Durian, Kan-yow variety",E,100g,153,2.7,29,3,,,,,0,5
"Mango, Nam-dok-mai variety, ripe",E,100g,80,0.9,18.8,0.2,1.2,,,,0,3
"Persimmon, fruit",E,100g,105,0.3,26,0,,,,,0,
"Guava, common",E,100g,52,0.7,12.1,0.1,3.7,,,,0,15
"Rose Apple, Khak-dum variety",E,100g,27,0.6,6.2,0,,,,,0,
"Durian, mon-thong/golden pillow variety",E,100g,163,2.2,30.1,3.7,3.1,,,,0,6
"Mango, thong-dum variety, ripe",E,100g,82,0.6,19.9,0,,,,,0,
Water melon,E,100g,25,0.6,5.4,0,0.3,,,,0,6
"Durian, Chanee variety",E,100g,158,2.7,25.4,5.1,4.1,,,,0,29
"Litchi, canned in syrup",E,100g,96,0.4,21.3,1,0.5,16.9,,,0,14
"Rose apple, green",E,100g,31,0.5,7.3,0.1,1.1,,,,0,66
"Jujube, Thai variety",E,100g,89,1.7,18.7,0.8,3.8,,,,0,3
"Coconut sweetened, dried",E,100g,449,2.9,65.2,19.6,11.3,,,,0,20
"Litchi, canned, drained",E,100g,96,0.4,21.3,1,0.5,,,,0,14
Rambutan,E,100g,77,1,17.9,0.1,,,,,0,22
"Longan, canned, drained",E,100g,94,0.3,20.7,1.1,0.3,,,,0,6
"Jackfruit, mature",E,100g,108,1.7,24.1,0.5,1.6,,,,0,43
Pomelo,E,100g,46,0.7,9.9,0.4,0.7,,,,0,
Banana (Khai),E,100g,126,1.4,29.7,0.2,2.2,,,,0,10
"Tangerines, (mandarin oranges), canned, juice pack, drained",A,100g,38,0.75,9.41,0.04,1.2,8.25,0.004,,0,5
"Loquats, raw",A,100g,47,0.43,12.14,0.2,1.7,,0.04,,0,1
"Apricots, canned, water pack, with skin, solids and liquids",A,100g,27,0.71,6.39,0.16,1.6,4.79,0.011,,0,3
"Cherries, sweet, canned, water pack, solids and liquids",A,100g,46,0.77,11.76,0.13,1.5,10.26,0.028,,0,1
"Pomegranates, raw",A,100g,83,1.67,18.7,1.17,4,13.67,0.12,0.009,0,3
"Tangerines, (mandarin oranges), raw",A,100g,53,0.81,13.34,0.31,1.8,10.58,0.039,,0,2
"Figs, canned, water pack, solids and liquids",A,100g,53,0.4,13.99,0.1,2.2,11.79,0.02,,0,1
"Feijoa, raw",A,100g,49,1.24,10.63,0.78,,,,,0,3
"Kiwifruit, green, raw",A,100g,61,1.14,14.66,0.52,3,8.99,0.029,,0,3
"Grapes, red or green (European type, such as Thompson seedless), raw",A,100g,69,0.72,18.1,0.16,0.9,15.48,0.054,,0,2
"Blueberries, frozen, sweetened",A,100g,81,0.4,21.95,0.13,2.2,19.72,0.011,,0,1
"Pineapple, canned, juice pack, solids and liquids",A,100g,60,0.42,15.7,0.08,0.8,14.45,0.006,,0,1
"Fruit, mixed, (peach and pear and pineapple), canned, heavy syrup, solids and liquids",A,100g,72,0.37,18.76,0.1,1,,0.014,,0,4
"Roselle, raw",A,100g,49,0.96,11.31,0.64,,,,,0,6
"Pie fillings, cherry, low calorie",A,100g,53,0.82,11.98,0.16,1.2,9.15,0,,0,12
"Pears, canned, juice pack, solids and liquids",A,100g,50,0.34,12.94,0.07,1.6,9.7,0.004,,0,4
"Apricots, dried, sulfured, stewed, with added sugar",A,100g,113,1.17,29.26,0.15,4.1,,0.01,,0,3
"Quinces, raw",A,100g,57,0.4,15.3,0.1,1.9,,0.01,,0,4
"Currants, european black, raw",A,100g,63,1.4,15.38,0.41,,,0.034,,0,2
"Peaches, spiced, canned, heavy syrup pack, solids and liquids",A,100g,75,0.41,20.08,0.1,1.3,18.78,0.011,,0,4
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",A,100g,50,0.51,13.05,0.03,1,,0.004,,0,5
"Longans, dried",A,100g,286,4.9,74,0.4,,,,,0,48
"Apricots, raw",A,100g,48,1.4,11.12,0.39,2,9.24,0.027,,0,1
"Cherries, sweet, raw",A,100g,63,1.06,16.01,0.2,2.1,12.82,0.038,,0,0
"Plums, canned, purple, heavy syrup pack, solids and liquids",A,100g,89,0.36,23.24,0.1,0.9,22.31,0.008,,0,19
"Orange peel, raw",A,100g,97,1.5,25,0.2,10.6,,0.024,,0,3
"Figs, raw",A,100g,74,0.75,19.18,0.3,2.9,16.26,0.06,,0,1
"Plums, canned, heavy syrup, drained",A,100g,89,0.44,23.12,0.14,1.5,21.58,0.011,,0,19
"Maraschino cherries, canned, drained",A,100g,165,0.22,41.97,0.21,3.2,38.77,0.039,,0,4
"Jujube, dried",A,100g,287,3.7,73.6,1.1,,,,,0,9
"Grapefruit, sections, canned, light syrup pack, solids and liquids",A,100g,60,0.56,15.44,0.1,0.4,15.04,0.014,,0,2
"Blueberries, frozen, unsweetened",A,100g,51,0.42,12.17,0.64,2.7,8.45,0.053,,0,1
"Pineapple, canned, water pack, solids and liquids",A,100g,32,0.43,8.3,0.09,0.8,7.5,0.006,,0,1
